date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:49:12	31936/31936	---M-Z	200	added ('OK')	application/javascript	etag:%227cc0-5faff1d76ee5f-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/gmaps/gmaps.min.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/gmaps/gmaps.min.js	(from https://themesdesign.in/tocly/layouts/maps-google.html)
21:49:12	987/987	---M-Z	200	added ('OK')	application/javascript	etag:%223db-5faff1d75b5de-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/gmaps.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/gmaps.init.js	(from https://themesdesign.in/tocly/layouts/maps-google.html)
21:49:13	692/692	---M-Z	200	added ('OK')	text/css	etag:%222b4-5faff1d75d51e-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.css	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:13	33323/33323	---M-Z	200	added ('OK')	application/javascript	etag:%22822b-5faff1d75d51e-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.min.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/jquery-jvectormap-1.2.2.min.js	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:13	144313/144313	---M-Z	200	added ('OK')	application/javascript	etag:%22233b9-5faff1d7603fe-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-world-mill-en.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-world-mill-en.js	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:13	130780/130780	---M-Z	200	added ('OK')	application/javascript	etag:%221fedc-5faff1d75f45e-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-us-merc-en.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-us-merc-en.js	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:14	141209/141209	---M-Z	200	added ('OK')	application/javascript	etag:%2222799-5faff1d75f45e-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-in-mill-en.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-in-mill-en.js	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:14	33856/33856	---M-Z	200	added ('OK')	application/javascript	etag:%228440-5faff1d75d51e-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-au-mill-en.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-au-mill-en.js	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:14	38626/38626	---M-Z	200	added ('OK')	application/javascript	etag:%2296e2-5faff1d75f45e-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-us-il-chicago-mill-en.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-us-il-chicago-mill-en.js	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:14	62840/62840	---M-Z	200	added ('OK')	application/javascript	etag:%22f578-5faff1d75f45e-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-uk-mill-en.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-uk-mill-en.js	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:14	125547/125547	---M-Z	200	added ('OK')	application/javascript	etag:%221ea6b-5faff1d75e4be-gzip%22	https://themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-ca-lcc-en.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/libs/admin-resources/jquery.vectormap/maps/jquery-jvectormap-ca-lcc-en.js	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:15	2206/2206	---M-Z	200	added ('OK')	application/javascript	etag:%2289e-5faff1d75b5de-gzip%22	https://themesdesign.in/tocly/layouts/assets/js/pages/vector-maps.init.js	D:/websites/admin/themesdesign.in/tocly/layouts/assets/js/pages/vector-maps.init.js	(from https://themesdesign.in/tocly/layouts/maps-vector.html)
21:49:15	74216/74216	---M--	200	added ('OK')	image/png	etag:%22121e8-5faff1d74eabe%22	https://themesdesign.in/tocly/layouts/assets/images/auth.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/auth.png	(from https://themesdesign.in/tocly/layouts/assets/css/app-rtl.min.css)
21:49:16	181772/181772	---M--	200	added ('OK')	image/png	etag:%222c60c-5faff1d75293e%22	https://themesdesign.in/tocly/layouts/assets/images/overlay-1.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/overlay-1.png	(from https://themesdesign.in/tocly/layouts/assets/css/app-rtl.min.css)
21:49:16	1204982/1204982	---M--	200	added ('OK')	image/jpeg	etag:%221262f6-5faff1d75487e%22	https://themesdesign.in/tocly/layouts/assets/images/pattern-bg.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/pattern-bg.jpg	(from https://themesdesign.in/tocly/layouts/assets/css/app-rtl.min.css)
21:49:16	278/278	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20May%202023%2016:19:16%20GMT	https://themesdesign.in/tocly/layouts/assets/images/authentication-bg.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/authentication-bg.jpg	(from https://themesdesign.in/tocly/layouts/assets/css/app-rtl.min.css)
21:49:18	461181/461181	---M--	200	added ('OK')	image/png	etag:%227097d-5faff1d7538de%22	https://themesdesign.in/tocly/layouts/assets/images/overlay-2.png	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/overlay-2.png	(from https://themesdesign.in/tocly/layouts/assets/css/app-rtl.min.css)
21:49:20	1149447/1149447	---M--	200	added ('OK')	image/jpeg	etag:%22118a07-5faff1d7509fe%22	https://themesdesign.in/tocly/layouts/assets/images/comingsoon-bg.jpg	D:/websites/admin/themesdesign.in/tocly/layouts/assets/images/comingsoon-bg.jpg	(from https://themesdesign.in/tocly/layouts/assets/css/app-rtl.min.css)
